timestamp,log_level,component,message,event_type,user_id,device_id,policy_id,source_ip,destination_ip,status
2025-09-11T14:14:39.922258,INFO,AuthService,Report 'Audit Log Report' generated.,REPORT_GENERATION,,,,,,
2025-09-11T14:17:39.922258,WARNING,AuthService,Network latency detected.,SYSTEM_HEALTH,,,,192.168.129.116,10.241.5.18,
2025-09-11T14:24:39.922258,ERROR,PolicyService,Policy 315 deployment to device 106 FAILED. Reason: Invalid rule syntax.,POLICY_DEPLOYMENT,,106,315,,,FAILED
2025-09-11T14:32:39.922258,DEBUG,AuthService,User 208 made PUT request to /users.,API_CALL,208,,,,,
2025-09-11T14:38:39.922258,DEBUG,PolicyService,User 203 made PUT request to /policies.,API_CALL,203,,,,,
2025-09-11T14:41:39.922258,ERROR,ReportGenerator,Network unreachable.,ERROR,,,,192.168.8.72,10.24.99.103,
2025-09-11T14:50:39.922258,ERROR,UI,User 210 made DELETE request to /devices.,API_CALL,210,,,,,
2025-09-11T14:52:39.922258,ERROR,AuthService,Memory allocation failed.,ERROR,,,,,,
2025-09-11T15:02:39.922258,INFO,ReportGenerator,User 208 viewed dashboard.,UI_ACTION,208,,,,,
2025-09-11T15:09:39.922258,WARNING,AuthService,Report 'Audit Log Report' generated.,REPORT_GENERATION,,,,,,
2025-09-11T15:15:39.922258,DEBUG,DeviceService,User 207 viewed dashboard.,UI_ACTION,207,,,,,
2025-09-11T15:20:39.922258,INFO,AuthService,User 210 login attempt SUCCESS.,AUTH_ATTEMPT,210,,,,,SUCCESS
2025-09-11T15:30:39.922258,DEBUG,ReportGenerator,User 207 made GET request to /devices.,API_CALL,207,,,,,
2025-09-11T15:38:39.922258,ERROR,NetworkMonitor,User 210 login attempt SUCCESS.,AUTH_ATTEMPT,210,,,192.168.176.238,10.174.129.210,SUCCESS
2025-09-11T15:47:39.922258,INFO,AuthService,Device 109 status changed to Online.,DEVICE_STATUS_CHANGE,,109,,,,
2025-09-11T15:52:39.922258,ERROR,PolicyService,Policy 317 deployment to device 109 SUCCESS.,POLICY_DEPLOYMENT,,109,317,,,SUCCESS
2025-09-11T15:58:39.922258,ERROR,ReportGenerator,Database connection lost.,ERROR,,,,,,
2025-09-11T16:08:39.922258,INFO,AuthService,Device 103 status changed to Offline.,DEVICE_STATUS_CHANGE,,103,,,,
2025-09-11T16:10:39.922258,ERROR,PolicyService,Memory allocation failed.,ERROR,,,,,,
2025-09-11T16:16:39.922258,WARNING,DeviceService,Policy 312 deployment to device 101 PENDING.,POLICY_DEPLOYMENT,,101,312,,,PENDING
2025-09-11T16:20:39.922258,DEBUG,PolicyService,Device 108 status changed to Offline.,DEVICE_STATUS_CHANGE,,108,,,,
2025-09-11T16:30:39.922258,INFO,AuthService,Device 106 status changed to Offline.,DEVICE_STATUS_CHANGE,,106,,,,
2025-09-11T16:34:39.922258,WARNING,AuthService,CPU usage normal.,SYSTEM_HEALTH,,,,,,
2025-09-11T16:44:39.922258,ERROR,NetworkMonitor,Policy 303 deployment to device 105 FAILED. Reason: Connection timed out.,POLICY_DEPLOYMENT,,105,303,192.168.189.183,10.52.242.113,FAILED
2025-09-11T16:45:39.922258,ERROR,UI,User 210 navigated to Policies.,UI_ACTION,210,,,,,
2025-09-11T16:53:39.922258,WARNING,NetworkMonitor,Network latency detected.,SYSTEM_HEALTH,,,,192.168.176.213,10.77.153.0,
2025-09-11T16:57:39.922258,ERROR,DeviceService,Network unreachable.,ERROR,,,,192.168.168.229,10.79.152.214,
2025-09-11T16:58:39.922258,INFO,UI,User 210 viewed dashboard.,UI_ACTION,210,,,,,
2025-09-11T17:08:39.922258,WARNING,UI,Network latency detected.,SYSTEM_HEALTH,,,,192.168.146.253,10.95.251.221,
2025-09-11T17:10:39.922258,WARNING,NetworkMonitor,User 203 clicked 'Add Device'.,UI_ACTION,203,,,192.168.109.125,10.58.80.69,
2025-09-11T17:12:39.922258,ERROR,PolicyService,Network unreachable.,ERROR,,,,192.168.34.87,10.239.225.145,
2025-09-11T17:20:39.922258,ERROR,ReportGenerator,Policy 307 deployment to device 107 SUCCESS.,POLICY_DEPLOYMENT,,107,307,,,SUCCESS
2025-09-11T17:21:39.922258,WARNING,AuthService,Network latency detected.,SYSTEM_HEALTH,,,,192.168.216.230,10.40.224.70,
2025-09-11T17:29:39.922258,INFO,NetworkMonitor,User 201 made PUT request to /policies.,API_CALL,201,,,192.168.218.49,10.200.33.133,
2025-09-11T17:34:39.922258,WARNING,AuthService,Device 106 status changed to Offline.,DEVICE_STATUS_CHANGE,,106,,,,
2025-09-11T17:38:39.922258,WARNING,UI,User 209 login attempt FAILED.,AUTH_ATTEMPT,209,,,,,FAILED
2025-09-11T17:47:39.922258,INFO,UI,Report 'Compliance Report' generated.,REPORT_GENERATION,,,,,,
2025-09-11T17:51:39.922258,INFO,DeviceService,User 207 login attempt SUCCESS.,AUTH_ATTEMPT,207,,,,,SUCCESS
2025-09-11T18:01:39.922258,ERROR,NetworkMonitor,User 204 clicked 'Add Device'.,UI_ACTION,204,,,192.168.192.74,10.128.19.162,
2025-09-11T18:05:39.922258,INFO,DeviceService,User 210 made PUT request to /users.,API_CALL,210,,,,,
2025-09-11T18:06:39.922258,INFO,DeviceService,User 201 login attempt SUCCESS.,AUTH_ATTEMPT,201,,,,,SUCCESS
2025-09-11T18:09:39.922258,WARNING,NetworkMonitor,Policy 307 deployment to device 101 SUCCESS.,POLICY_DEPLOYMENT,,101,307,192.168.197.13,10.48.46.48,SUCCESS
2025-09-11T18:18:39.922258,INFO,UI,Device 104 status changed to Online.,DEVICE_STATUS_CHANGE,,104,,,,
2025-09-11T18:23:39.922258,ERROR,ReportGenerator,Database connection lost.,ERROR,,,,,,
